conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider 
ARCHITECTURAL_COMPONENT_208,tiling,,ARCHITECTURAL COMPONENT TYPE AUTHORITY DOCUMENT.csv,Index,GCI
ARCHITECTURAL_COMPONENT_209,transom,,ARCHITECTURAL COMPONENT TYPE AUTHORITY DOCUMENT.csv,Index,GCI
ARCHITECTURAL_COMPONENT_210,trimmer,,ARCHITECTURAL COMPONENT TYPE AUTHORITY DOCUMENT.csv,Index,GCI
ARCHITECTURAL_COMPONENT_211,trumeau,,ARCHITECTURAL COMPONENT TYPE AUTHORITY DOCUMENT.csv,Index,GCI
ARCHITECTURAL_COMPONENT_212,truss,,ARCHITECTURAL COMPONENT TYPE AUTHORITY DOCUMENT.csv,Index,GCI
ARCHITECTURAL_COMPONENT_213,tun,,ARCHITECTURAL COMPONENT TYPE AUTHORITY DOCUMENT.csv,Index,GCI
ARCHITECTURAL_COMPONENT_214,tympanum,,ARCHITECTURAL COMPONENT TYPE AUTHORITY DOCUMENT.csv,Index,GCI
ARCHITECTURAL_COMPONENT_215,upright shaft,,ARCHITECTURAL COMPONENT TYPE AUTHORITY DOCUMENT.csv,Index,GCI
ARCHITECTURAL_COMPONENT_216,vault,,ARCHITECTURAL COMPONENT TYPE AUTHORITY DOCUMENT.csv,Index,GCI
ARCHITECTURAL_COMPONENT_216_1,annular vault,,ARCHITECTURAL_COMPONENT_216,Index,GCI
ARCHITECTURAL_COMPONENT_216_2,barrel vault,,ARCHITECTURAL_COMPONENT_216,Index,GCI
ARCHITECTURAL_COMPONENT_216_3,cross vault,,ARCHITECTURAL_COMPONENT_216,Index,GCI
ARCHITECTURAL_COMPONENT_216_4,ribbed vault,,ARCHITECTURAL_COMPONENT_216,Index,GCI
ARCHITECTURAL_COMPONENT_217,vault springer,,ARCHITECTURAL COMPONENT TYPE AUTHORITY DOCUMENT.csv,Index,GCI
ARCHITECTURAL_COMPONENT_218,vent,,ARCHITECTURAL COMPONENT TYPE AUTHORITY DOCUMENT.csv,Index,GCI
ARCHITECTURAL_COMPONENT_219,voussoir,,ARCHITECTURAL COMPONENT TYPE AUTHORITY DOCUMENT.csv,Index,GCI
ARCHITECTURAL_COMPONENT_220,walkway,,ARCHITECTURAL COMPONENT TYPE AUTHORITY DOCUMENT.csv,Index,GCI
ARCHITECTURAL_COMPONENT_221,wall,,ARCHITECTURAL COMPONENT TYPE AUTHORITY DOCUMENT.csv,Index,GCI
ARCHITECTURAL_COMPONENT_221_1,curtain wall,,ARCHITECTURAL_COMPONENT_221,Index,GCI
ARCHITECTURAL_COMPONENT_221_2,dado (wall),,ARCHITECTURAL_COMPONENT_221,Index,GCI
ARCHITECTURAL_COMPONENT_221_3,partition wall,,ARCHITECTURAL_COMPONENT_221,Index,GCI
ARCHITECTURAL_COMPONENT_221_4,plinth (wall),,ARCHITECTURAL_COMPONENT_221,Index,GCI
ARCHITECTURAL_COMPONENT_222,wallower,,ARCHITECTURAL COMPONENT TYPE AUTHORITY DOCUMENT.csv,Index,GCI
ARCHITECTURAL_COMPONENT_223,water spout,,ARCHITECTURAL COMPONENT TYPE AUTHORITY DOCUMENT.csv,Index,GCI
ARCHITECTURAL_COMPONENT_224,water table,,ARCHITECTURAL COMPONENT TYPE AUTHORITY DOCUMENT.csv,Index,GCI
ARCHITECTURAL_COMPONENT_225,waterwheel shaft,,ARCHITECTURAL COMPONENT TYPE AUTHORITY DOCUMENT.csv,Index,GCI
ARCHITECTURAL_COMPONENT_226,weatherboard,,ARCHITECTURAL COMPONENT TYPE AUTHORITY DOCUMENT.csv,Index,GCI
ARCHITECTURAL_COMPONENT_227,whip,,ARCHITECTURAL COMPONENT TYPE AUTHORITY DOCUMENT.csv,Index,GCI
ARCHITECTURAL_COMPONENT_228,wind brace,,ARCHITECTURAL COMPONENT TYPE AUTHORITY DOCUMENT.csv,Index,GCI
ARCHITECTURAL_COMPONENT_229,window,,ARCHITECTURAL COMPONENT TYPE AUTHORITY DOCUMENT.csv,Index,GCI
ARCHITECTURAL_COMPONENT_229_1,bay window,,ARCHITECTURAL_COMPONENT_229,Index,GCI
ARCHITECTURAL_COMPONENT_229_2,bow window,,ARCHITECTURAL_COMPONENT_229,Index,GCI
ARCHITECTURAL_COMPONENT_229_3,bullseye window,,ARCHITECTURAL_COMPONENT_229,Index,GCI
ARCHITECTURAL_COMPONENT_229_4,casement window,,ARCHITECTURAL_COMPONENT_229,Index,GCI
ARCHITECTURAL_COMPONENT_229_4_1,french window,,ARCHITECTURAL_COMPONENT_229_4,Index,GCI
ARCHITECTURAL_COMPONENT_229_5,cross window,,ARCHITECTURAL_COMPONENT_229,Index,GCI
ARCHITECTURAL_COMPONENT_229_6,dormer window,,ARCHITECTURAL_COMPONENT_229,Index,GCI
ARCHITECTURAL_COMPONENT_229_7,fanlight,,ARCHITECTURAL_COMPONENT_229,Index,GCI
ARCHITECTURAL_COMPONENT_229_8,fire window,,ARCHITECTURAL_COMPONENT_229,Index,GCI
ARCHITECTURAL_COMPONENT_229_9,laced window,,ARCHITECTURAL_COMPONENT_229,Index,GCI
ARCHITECTURAL_COMPONENT_229_10,lancet window,,ARCHITECTURAL_COMPONENT_229,Index,GCI
ARCHITECTURAL_COMPONENT_229_11,lowside window,,ARCHITECTURAL_COMPONENT_229,Index,GCI
